category,item_name,description,unit,crew_cost_net,sale_price_net
Materiał,instalacja freonowa 1/4 i 3/8,"Rura miedziana w otulinie 1/4', rura miedziana w otulinie 3/8', przewód sterujący 4x1m2",mb,18.72,130.00
Materiał,instalacja freonowa 1/4 i 1/2,"Rura miedziana w otulinie 1/4', rura miedziana w otulinie 1/2', przewód sterujący 4x1m2",mb,22.80,135.00
Materiał,koryta na instalację freonową,Koryta plastikowe białe 60x80mm,mb,9.00,40.00
Robocizna,bruzdowanie na instalację freonową,"Cięcie i kucie ścian, aby zmieścić podtynkowo instalację freonową",mb,,120.00
Robocizna,bruzdowanie w żelbecie,"Cięcie i kucie ścian żelbetowych, aby zmieścić podtynkowo instalację freonową",mb,,220.00
Robocizna,bruzdowanie na skropliny,"Cięcie i kucie ścian, aby zmieścić podtynkowo instalację odprowadzenia skroplin",mb,,40.00
Robocizna,bruzdowanie na skropliny w żelbecie,"Cięcie i kucie ścian żelbetowych, aby zmieścić podtynkowo instalację odprowadzenia skroplin",mb,,80.00
Robocizna,bruzdowanie na przewód zasilający,"Cięcie i kucie ścian, aby zmieścić podtynkowo przewód zasilający",mb,,40.00
Robocizna,wycięcie rewizji + wstawienie wyciętego kawałka GK,"Wycięcie kawałka (np kwadrat 20x20cm) płyty gipsowo kartonowej, aby móc przeciągnąć instalację freonową/skroplin/elektryczną i następnie wstawienie tego kawałka spowrotem, bez szpachlowania",szt,20.00,80.00
Robocizna,wstawienie rewizji,"Wstawienie drzwiczek plastikowych w miejsce wycięcia, aby mieć dostęp do instalacji ułożonej za płytą gipsowo kartonową",szt,150.00,350.00
Robocizna,bruzdowanie na przewód zasilający w żelbecie,"Cięcie i kucie ścian żelbetowych, aby zmieścić podtynkowo przewód zasilający",mb,,80.00
Materiał,jedn zew stoi na podstawach kauczukowych,Montaż jednostki zewnętrznej na antywibracyjnych podkładach kauczukowych,szt,77.00,120.00
,jedn zew stoi na stojaku,,szt,350.00,550.00
,jedn zew stoi na stelażu z profili,,szt,150.00,350.00
,jedn zew wisi do 3m od podłoża,,szt,93.00,170.00
,jedn zew wisi na kominie,,szt,120.00,240.00
,wysokość jedn zew,,m,,250.00
Materiał,skropliny grawitacyjnie giętkie,Odprowadzenie skroplin za pomocą elastycznego węża karbowanego,mb,2.00,6.00
Materiał,skropliny na sztywno,Odprowadzenie skroplin za pomocą sztywnych rur plastikowych wymagających klejenia kształtek na zakrętach,mb,15.50,45.00
Materiał,syfon,"Syfon przed wpięciem do kanalizacji, aby zapobiec wydobywaniu się nieprzyjemnych zapachów z klimatyzacji",szt,100.00,180.00
Materiał,pompka skroplin,Pompka stosowana w przypadku braku możliwości zachowania spadku i wykonania odpływu skroplin grawitacyjnie,szt,315.00,600.00
Robocizna,wpięcie skroplin do odpływu przez trójnik,Podłączenie odpływu skroplin od syfonu do odpływu kanalizacyjnego z zastosowaniem trójnika 45st fi50mm,szt,4.00,60.00
